site_id,lat,lon,pft
593966,41.18169,-120.0439,annual crop
312713,37.92916,-121.67615,annual crop
516958,39.63392,-122.25149,annual crop
154412,40.34801,-120.43143,annual crop
362058,38.78637,-121.50581,annual crop
570008,33.5203,-116.11773,annual crop
349530,32.77581,-114.60926,annual crop
311274,36.24474,-119.31747,annual crop
594537,34.23717,-119.21463,annual crop
456009,36.77227,-121.76461,annual crop
166246,37.73385,-120.70934,annual crop
588417,38.13834,-121.3522,annual crop
160771,35.25382,-118.97285,annual crop
224979,38.04623,-122.5187,annual crop
479672,32.76365,-115.01902,annual crop
55013,33.68423,-116.15717,annual crop
577693,36.09284,-119.58793,annual crop
583217,39.20754,-121.25371,annual crop
504727,39.48739,-122.04769,annual crop
559861,38.03511,-121.64624,annual crop
431116,38.75467,-122.62866,annual crop
58433,36.1151,-119.43226,annual crop
547357,41.07029,-121.49143,annual crop
98855,32.7716,-115.30034,annual crop
554677,40.87505,-124.0049,annual crop
58213,40.33208,-120.32669,annual crop
404295,39.51921,-121.74733,annual crop
126220,36.87022,-121.70486,annual crop
480249,34.89713,-120.3886,annual crop
268950,32.75671,-114.79695,annual crop
586034,33.60641,-116.2084,annual crop
559150,33.35447,-117.18657,annual crop
273551,33.45436,-114.65832,annual crop
59976,39.1708,-121.98934,annual crop
60281,36.71141,-121.78475,annual crop
490242,38.13406,-121.59009,annual crop
588289,33.51519,-116.14851,annual crop
378824,41.62456,-122.77821,annual crop
193090,34.99128,-120.47043,annual crop
499410,38.89358,-120.96851,annual crop
62861,32.74332,-115.48729,annual crop
171047,40.83601,-124.05151,annual crop
63932,35.83922,-119.2737,annual crop
158291,34.96502,-120.61136,annual crop
334631,36.64499,-119.81199,annual crop
565094,37.97933,-121.23131,annual crop
183078,39.1327,-121.56194,annual crop
317867,35.24955,-118.79638,annual crop
67190,38.24584,-121.63126,annual crop
157257,41.89149,-121.38989,annual crop
297853,36.64561,-120.62447,annual crop
288795,32.74477,-114.63185,annual crop
353923,38.77918,-121.40203,annual crop
104086,40.59411,-124.23193,annual crop
342288,38.19449,-121.67146,annual crop
446387,41.81184,-122.02745,annual crop
467028,35.33734,-120.76619,annual crop
305662,35.08039,-120.57957,annual crop
69794,38.33552,-121.5185,annual crop
122482,32.77664,-114.6113,annual crop
526002,34.89956,-120.41191,annual crop
583700,32.84429,-115.42659,annual crop
388581,39.76938,-122.28001,annual crop
489889,39.43879,-121.93537,annual crop
71364,36.75417,-120.46185,annual crop
206147,37.50289,-121.13986,annual crop
265662,34.4136,-119.47741,annual crop
515697,37.50571,-120.99583,annual crop
71998,35.52193,-120.52223,annual crop
502366,36.23831,-121.19461,annual crop
439079,34.38641,-119.47416,annual crop
102030,39.7564,-122.20809,annual crop
220406,38.33506,-122.50981,annual crop
75234,34.60434,-120.25251,annual crop
511020,38.05201,-121.4909,annual crop
446525,38.49965,-121.18729,annual crop
513795,36.4842,-121.06419,annual crop
77485,40.54908,-124.09128,annual crop
319068,36.3138,-119.22597,annual crop
80359,32.99734,-115.33489,annual crop
88823,38.7582,-120.71206,annual crop
573603,33.10895,-115.5994,annual crop
485550,41.90407,-121.35864,annual crop
265510,36.63046,-119.70595,annual crop
369870,37.8032,-121.25472,annual crop
140076,36.64352,-120.1109,annual crop
217736,32.75554,-114.65385,annual crop
85476,33.61412,-116.1835,annual crop
582744,37.21162,-121.07827,annual crop
86344,38.19226,-121.59995,annual crop
213367,32.92571,-115.30027,annual crop
576340,35.56554,-120.41232,annual crop
235821,33.51604,-117.20152,annual crop
86724,41.90397,-121.33877,annual crop
537892,33.5474,-116.67887,annual crop
300582,34.42933,-118.76609,annual crop
489046,34.55605,-120.4219,annual crop
118041,37.22287,-120.34459,annual crop
91140,33.594,-116.04274,annual crop
454530,41.95369,-121.89198,annual crop
103858,37.83949,-121.55216,annual crop
93166,33.52666,-116.15192,annual crop
93173,33.527,-116.15321,annual crop
567200,36.65582,-120.28188,annual crop
537766,37.73326,-121.06349,annual crop
251705,40.29399,-120.48638,annual crop
95944,39.65392,-121.80497,annual crop
400215,33.58679,-114.58644,annual crop
453494,38.3559,-122.82709,annual crop
212385,38.38767,-122.79996,annual crop
579766,33.66107,-116.17185,annual crop
225560,39.81504,-121.89795,annual crop
