site_id,lat,lon,pft,cluster,dist_to_centroid
328412,38.72159,-121.65823,annual crop,913,0.9968376156359267
534528,36.69975,-121.78109,annual crop,487,0.7680061027899181
571465,34.03015,-118.06631,annual crop,1122,0
348953,40.58737,-124.25329,annual crop,4747,0.7444792550928699
320052,34.91945,-120.36302,annual crop,2293,0.6368096793364164
94022,34.94933,-120.56015,annual crop,837,0.5823612306370192
82388,34.99721,-120.52983,annual crop,1849,0.6841832952847013
89930,36.57724,-120.21172,annual crop,3672,0
70427,37.20448,-120.13647,annual crop,4113,0
599445,37.4538,-121.12108,annual crop,1524,0.7509587917554792
880,37.40335,-118.57035,annual crop,3539,0
79246,38.87646,-121.45526,annual crop,192,1.2063512828214293
303297,38.28129,-122.8916,annual crop,1743,1.0637211275456915
487046,38.81462,-121.51854,annual crop,2429,1.4236546428133068
206389,39.36029,-122.21913,annual crop,2231,0.4087214259549846
79806,37.81866,-121.56355,annual crop,3262,1.145446836676054
217837,41.25083,-120.57109,annual crop,654,0.5451313833212397
583805,39.40016,-121.5906,annual crop,1073,0.6271508027842159
19253,34.01406,-117.6434,annual crop,2537,0.61926491682702145
245943,36.09912,-119.2792,annual crop,4085,0.7253363388419114
382951,39.34248,-122.17959,annual crop,1335,0.8971533821021686
256244,39.07707,-121.46566,annual crop,2232,0.7441609137864501
550145,39.55745,-121.78685,annual crop,4527,0.5333694891945154
998,38.18662,-121.51111,annual crop,2408,0.6851627278817826
424651,39.77745,-123.19767,annual crop,4321,0.5940079527456634
133664,36.76072,-121.65394,annual crop,2440,1.4244873000334126
504131,36.15446,-119.42819,annual crop,1678,0.6877268286127809
264957,35.98885,-119.54957,annual crop,2696,1.2481426631167267
431698,36.16968,-120.08333,annual crop,636,0.9242307371318472
226635,36.2213,-120.09016,annual crop,5046,0.6461771540577391
372639,33.06101,-115.49203,annual crop,1124,0.6089362923888609
601410,34.93323,-120.41091,annual crop,3566,0.5547851017755757
8100,32.88728,-115.3324,annual crop,476,0.9360277907239314
597451,41.89007,-124.15585,annual crop,2069,0.9604429545017993
555924,39.51589,-122.26101,annual crop,4980,1.0618374974593225
561496,41.94253,-124.19052,annual crop,1885,1.2783570895340186
34530,37.7956,-121.50337,annual crop,3,0.7770724735729475
28588,40.92439,-124.10997,annual crop,3416,0.7835965970750226
338400,39.52754,-121.91116,annual crop,1927,0.32980670292115566
482429,39.51909,-121.77071,annual crop,1499,0.42369490110064345
401251,39.9125,-122.20127,annual crop,3412,1.0311014087066162
129129,37.62166,-120.5309,annual crop,1272,1.4586298070881865
236153,40.89783,-124.09104,annual crop,4215,1.0897771398744065
475767,37.99396,-121.55109,annual crop,557,0.7524999872763725
1156,34.90096,-120.46683,annual crop,1225,0.8790513294265634
422854,39.49239,-121.69794,annual crop,1470,0.5450500965571053
269689,33.26961,-117.14531,annual crop,1600,1.1865005589793494
140087,40.0512,-122.06519,annual crop,4996,0.5160144383949236
545874,36.15954,-120.35334,annual crop,754,1.1556698418692988
332428,36.65668,-120.29882,annual crop,4525,1.8030608765349956
233852,37.17514,-120.72304,annual crop,3276,0.8457094911549993
490302,36.14208,-119.81978,annual crop,2908,0.7642739414128709
558758,35.08006,-118.8279,annual crop,297,0.8966483589596425
590433,36.45524,-121.36219,annual crop,2970,0.5830266938535364
337707,37.03308,-120.89865,annual crop,4410,1.2861633016640779
588372,35.03608,-120.56755,annual crop,1526,0.7165149059265524
533246,34.93135,-120.39381,annual crop,2009,0.4830888260109362
392438,37.80076,-120.84848,annual crop,3074,0.9391675421491351
284599,33.6847,-116.13167,annual crop,5118,0
272038,32.76243,-115.42444,annual crop,346,0.9585066822597527
393704,36.42611,-119.86998,annual crop,5084,1.3989150272501176
30331,40.10464,-122.09738,annual crop,2016,0.7080031517816768
108738,38.47702,-121.90673,annual crop,3036,0
530248,37.77423,-120.93482,annual crop,3917,0.6419435947214317
237902,37.69428,-121.37716,annual crop,207,1.5270233900185874
238103,36.0699,-119.54958,annual crop,2597,1.1047021392427678
69606,36.34231,-119.51247,annual crop,1933,0.7423003555669667
155066,32.81698,-114.54613,annual crop,3277,0.9961295376090511
544725,35.19247,-119.21245,annual crop,423,0.744954591319105
309370,35.4687,-119.5804,annual crop,1975,0.9629406669555893
